date,building_number,month,year,container_type,service_type,bill_description,description,bill_desc_original,desc_original,container_quantity,volume_per_container,weekly_pickups,volume_collected_per_week,total_volume_per_week,waste_stream,share_of_commingled_volume,total_commingled_waste,waste_this_month,data_version
7/1/16,5576,July,2016,8FL,FL,University Hall,University Hall,UVA UNIVERSITY HALL           ,University Hall,1,8,3,24,4190,Athletics,0.57,203.57,1.17,032820-00
7/1/16,2370,July,2016,8FL,FL,Watson-Webb Dorms,Watson-Webb Dorms,UVA WATSON-WEBB DORMS         ,Watson-Webb Dorms,1,8,6,48,4190,Housing,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,RO,RO,West Complex,West Complex,UVA WEST COMPLEX              ,West Complex,1,34,1,34,,Clinical MSW,100,5.93,5.93,032820-00
7/1/16,,July,2016,RO,RO,West Complex,West Complex,UVA WEST COMPLEX              ,West Complex,1,34,1,34,,Clinical MSW,100,8.7,8.7,032820-00
7/1/16,,July,2016,RO,RO,West Complex,West Complex,UVA WEST COMPLEX              ,West Complex,1,34,1,34,,Clinical MSW,100,8.21,8.21,032820-00
7/1/16,,July,2016,T96,FL,Wests Range Garage,West Range Garage,UVA WESTS RANGE GARAGE        ,West Range Garage,4,0.5,4,8,4190,On-Grounds,0.19,203.57,0.39,032820-00
7/1/16,267,July,2016,8FL,FL,Wilsdorf,Wilsdorf,UVA WILSDORF                  ,Wilsdorf,1,8,6,48,4190,On-Grounds,1.15,203.57,2.33,032820-00
7/1/16,2366,July,2016,10F,FL,Woody Dorm,Woody Dorm,UVA WOODY DORM                ,Woody Dorm,1,10,6,60,4190,Housing,1.43,203.57,2.92,032820-00
7/1/16,207,July,2016,8FL,FL,Zehmer Hall,Zehmer Hall,UVA ZEHMER HALL               ,Zehmer Hall,1,8,1,8,4190,Off-Grounds,0.19,203.57,0.39,032820-00
7/1/16,207,July,2016,2FL,FL,Zehmer Hall,Zehmer Hall,UVA ZEHMER HALL               ,Zehmer Hall,1,2,3,6,4190,Off-Grounds,0.14,203.57,0.29,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.3,5.3,032820-00
7/1/16,2410,July,2016,8FL,FL,University Gardens,University Gardens,UVA UNIVERSITY GARDENS        ,University Gardens,1,8,2,16,4190,Housing,0.38,203.57,0.78,032820-00
7/1/16,1181,July,2016,8FL,FL,Old Medical School,Old Medical School,UVA OLD MEDICAL SCHOOL        ,Old Medical School,1,8,5,40,4190,Clinical MSW,0.95,203.57,1.94,032820-00
7/1/16,,July,2016,T96,FL,South Parking Garage,South Parking Garage,UVA SOUTH PARKING GARAGE      ,South Parking Garage,2,0.5,1,1,4190,Off-Grounds,0.02,203.57,0.05,032820-00
7/1/16,5262,July,2016,4FL,FL,Slaughter Rec Center,Slaughter Rec. Center,UVA SLAUGHTER REC CENTER      ,Slaughter Rec. Center,1,4,1,4,4190,IM-Rec,0.1,203.57,0.19,032820-00
7/1/16,2422,July,2016,4FL,FL,Oneil Hall,Oneil Hall,UVA ONEIL HALL                ,Oneil Hall,1,4,2,8,4190,Off-Grounds,0.19,203.57,0.39,032820-00
7/1/16,,July,2016,T96,FL,Outdoor Rec. Center,Outdoor Rec. Center,UVA OUTDOOR REC CENTER        ,Outdoor Rec. Center,1,0.5,1,0.5,4190,IM-Rec,0.01,203.57,0.02,032820-00
7/1/16,3708,July,2016,10F,FL,Outpatient Surg Ctr,Outpatient Surgery Center,UVA OUTPATIENT SURG CTR       ,Outpatient Surgery Center,1,10,1,10,4190,Clinical MSW,0.24,203.57,0.49,032820-00
7/1/16,583,July,2016,8FL,FL,Parking & Transit,Parking & Transit,UVA PARKING & TRANSIT         ,Parking & Transit,1,8,2,16,4190,Off-Grounds,0.38,203.57,0.78,032820-00
7/1/16,,July,2016,T96,FL,Patterson Alley,Patterson Alley,UVA PATTERSON ALLEY           ,Patterson Alley,4,0.5,4,8,4190,Housing,0.19,203.57,0.39,032820-00
7/1/16,221,July,2016,8FC,FL,Physics Building,Physics Building,UVA PHYSICS                   ,Physics Building,1,24,3,72,4190,On-Grounds,1.72,203.57,3.5,032820-00
7/1/16,2367,July,2016,2FL,FL,Pied Fac Apts #2504,Piedmont Faculty Apartments,UVA PIED FAC APTS #2504       ,Piedmont Faculty Apartments,1,2,3,6,4190,Housing,0.14,203.57,0.29,032820-00
7/1/16,3579,July,2016,6FL,FL,Piedmont Center,Piedmont Center,UVA PIEDMONT CENTER           ,Piedmont Center,1,6,3,18,4190,Off-Grounds,0.43,203.57,0.87,032820-00
7/1/16,627,July,2016,8FL,FL,Police Building,Police Building,UVA POLICE BLDG               ,Police Building,1,8,1,8,4190,Off-Grounds,0.19,203.57,0.39,032820-00
7/1/16,596,July,2016,4FL,FL,Printing Service Center,Printing Service Center,UVA PRINTING SERVICE CENTER   ,Printing Service Center,1,4,2,8,4190,Off-Grounds,0.19,203.57,0.39,032820-00
7/1/16,3755,July,2016,8FL,FL,Ray C Hunt 415,Ray C Hunt,UVA RAY C HUNT 415            ,Ray C Hunt,1,8,5,40,4190,Clinical MSW,0.95,203.57,1.94,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,5.46,5.46,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.36,6.36,032820-00
7/1/16,3761,July,2016,8FL,FL,Ray C Hunt 450,Ray C Hunt,UVA RAY C HUNT 450            ,Ray C Hunt,1,8,3,24,4190,Clinical MSW,0.57,203.57,1.17,032820-00
7/1/16,3760,July,2016,8FL,FL,Ray C Hunt 500,Ray C Hunt,UVA RAY C HUNT 500            ,Ray C Hunt,1,8,3,24,4190,Clinical MSW,0.57,203.57,1.17,032820-00
7/1/16,1756,July,2016,8FL,FL,Ray C Hunt 545,Ray C Hunt,UVA RAY C HUNT 545            ,Ray C Hunt,1,8,3,24,4190,Clinical MSW,0.57,203.57,1.17,032820-00
7/1/16,3758,July,2016,6FL,FL,Ray C Hunt 560,Ray C Hunt,UVA RAY C HUNT 560            ,Ray C Hunt,1,6,3,18,4190,Clinical MSW,0.43,203.57,0.87,032820-00
7/1/16,334,July,2016,4FL,FL,Reactor Building,Reactor Building,UVA REACTOR                   ,Reactor Building,1,4,1,4,4190,Off-Grounds,0.1,203.57,0.19,032820-00
7/1/16,57,July,2016,8FL,FL,Robertson Hall,Robertson Hall,UVA ROBERTSON HALL            ,Robertson Hall,1,8,5,40,4190,On-Grounds,0.95,203.57,1.94,032820-00
7/1/16,440,July,2016,6FL,FL,Ruffin Hall,Ruffin Hall,UVA RUFFIN HALL               ,Ruffin Hall,1,6,3,18,4190,On-Grounds,0.43,203.57,0.87,032820-00
7/1/16,396,July,2016,8FL,FL,Runk Dining,Runk Dining,UVA RUNK DINING               ,Runk Dining,1,8,6,48,4190,Aramark,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,T96,FL,Sawyer Hospitality,Sawyer Hospitality,UVA SAWYER HOSPITALITY        ,Sawyer Hospitality,3,0.5,3,4.5,4190,Clinical MSW,0.11,203.57,0.22,032820-00
7/1/16,,July,2016,8FL,FL,Scott Stadium,Football,UVA SCOTT STADIUM             ,Football,1,8,1,8,4190,Athletics,0.19,203.57,0.39,032820-00
7/1/16,261,July,2016,6FL,FL,Shelbourne Hall,Shelbourne Hall,UVA SHELBOURNE HALL           ,Shelbourne Hall,1,6,3,18,4190,On-Grounds,0.43,203.57,0.87,032820-00
7/1/16,1693,July,2016,6FL,FL,Sieg Warehouse,Sieg Warehouse,UVA SIEG WAREHOUSE            ,Sieg Warehouse,1,6,1,6,4190,Off-Grounds,0.14,203.57,0.29,032820-00
7/1/16,528,July,2016,8FL,FL,Slaughter Hall,Slaughter Hall,UVA SLAUGHTER HALL            ,Slaughter Hall,1,8,2,16,4190,Law School,0.38,203.57,0.78,032820-00
7/1/16,1760,July,2016,8FL,FL,Ray C Hunt 480,Ray C Hunt,UVA RAY C HUNT 480            ,Ray C Hunt,1,8,3,24,4190,Clinical MSW,0.57,203.57,1.17,032820-00
7/1/16,5577,July,2016,8FL,FL,Frank C McCue Ctr,Frank C McCue Center,UVA FRANK C MCCUE CTR         ,Frank C McCue Center,1,8,3,24,4190,Athletics,0.57,203.57,1.17,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.75,6.75,032820-00
7/1/16,603,July,2016,6FL,FL,Faulkner Miller Ctr,Faulkner Miller Court,UVA FAULKNER MILLER CTR       ,Faulkner Miller Court,1,6,1,6,4190,Off-Grounds,0.14,203.57,0.29,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.6,6.6,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.9,5.9,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.83,5.83,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.47,6.47,032820-00
7/1/16,,July,2016,T96,FL,108 Cresap House,108 Cresap House,UVA 108 CRESAP/RUSSIAN/SLEVIC ,108 Cresap House,2,0.5,1,1,4190,Housing,0.02,203.57,0.05,032820-00
7/1/16,1994,July,2016,8FL,FL,1222 Jpa,1222 JPA,UVA 1222 JPA                  ,1222 JPA,1,8,6,48,4190,Clinical MSW,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,T96,FL,1939 Ivy Road,1939 Ivy Road,UVA 1939 IVY ROAD             ,1939 Ivy Road,1,0.5,2,1,4190,Off-Grounds,0.02,203.57,0.05,032820-00
7/1/16,,July,2016,T96,FL,21 University Circle,21 University Circle,UVA 21 UNIVERSITY CIRCLE      ,21 University Circle,2,0.5,1,1,4190,Off-Grounds,0.02,203.57,0.05,032820-00
7/1/16,3656,July,2016,6FL,FL,2400 Old Ivy Road,2400 Old Ivy Road,UVA 2400 OLD IVY ROAD         ,2400 Old Ivy Road,1,6,1,6,4190,Off-Grounds,0.14,203.57,0.29,032820-00
7/1/16,321,July,2016,2FL,FL,Aerospace Research Lab,Aerospace Research Lab,UVA AEROSPACE RESEARCH LABORAT,Aerospace Research Lab,1,2,1,2,4190,Off-Grounds,0.05,203.57,0.1,032820-00
7/1/16,82,July,2016,10F,FL,Alderman Library,Alderman Library,UVA ALDERMAN LIBRARY          ,Alderman Library,1,10,6,60,4190,On-Grounds,1.43,203.57,2.92,032820-00
7/1/16,3432,July,2016,6FL,FL,Alumni Hall,Alumni Hall,UVA ALUMNI HALL               ,Alumni Hall,1,6,6,36,4190,On-Grounds,0.86,203.57,1.75,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.07,6.07,032820-00
7/1/16,,July,2016,8FL,FL,Aquatic & Fitness Center,Aquatic & Fitness Center,UVA AQUATIC & FITNESS CENTER  ,Aquatic & Fitness Center,1,8,2,16,4190,IM-Rec,0.38,203.57,0.78,032820-00
7/1/16,2369,July,2016,8FL,FL,Balz-Dobie,Balz-Dobie,UVA BALZ-DOBIE HOUSE          ,Balze-Dobie,1,8,6,48,4190,Housing,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,RO,RO,Battle Building,Battle Building,UVA BATTLE BUILDING,Battle Building,1,15,1,15,,Clinical MSW,100,2.52,2.52,032820-00
7/1/16,,July,2016,RO,RO,Battle Building,Battle Building,UVA BATTLE BUILDING,Battle Building,1,15,1,15,,Clinical MSW,100,2.14,2.14,032820-00
7/1/16,,July,2016,RO,RO,Battle Building,Battle Building,UVA BATTLE BUILDING,Battle Building,1,15,1,15,,Clinical MSW,100,3.03,3.03,032820-00
7/1/16,,July,2016,RO,RO,Battle Building,Battle Building,UVA BATTLE BUILDING,Battle Building,1,15,1,15,,Clinical MSW,100,3.3,3.3,032820-00
7/1/16,,July,2016,RO,RO,Battle Building,Battle Building,UVA BATTLE BUILDING,Battle Building,1,15,1,15,,Clinical MSW,100,3.13,3.13,032820-00
7/1/16,407,July,2016,4FL,FL,Bayly Museum,Bayly Museum,UVA BAYLY MUSEUM              ,Bayly Museum,1,4,3,12,4190,On-Grounds,0.29,203.57,0.58,032820-00
7/1/16,2146,July,2016,8FL,FL,Bice House,Bice,UVA BICE HOUSE                ,Bice,1,8,6,48,4190,Housing,1.15,203.57,2.33,032820-00
7/1/16,595,July,2016,8FL,FL,Fontana Food Center,Fontana Food Center,UVA FONTANA FOOD CENTER       ,Fontana Food Center,1,8,5,40,4190,Aramark,0.95,203.57,1.94,032820-00
7/1/16,,July,2016,4FL,FL,Birdwood Storage,Birdwood Golf Course,UVA BIRDWOOD STORAGE          ,Birdwood Golf Course,1,4,1,4,4190,Maintenance,0.1,203.57,0.19,032820-00
7/1/16,2218,July,2016,10F,FL,Bonnycastle,Bonnycastle,UVA BONNYCASTLE               ,Bonnycastle,2,10,6,120,4190,Housing,2.86,203.57,5.83,032820-00
7/1/16,3751,July,2016,2FL,FL,Bookstore Warehouse,Bookstore Warehouse,UVA BOOKSTORE WAREHOUSE       ,Bookstore Warehouse,1,2,1,2,4190,Off-Grounds,0.05,203.57,0.1,032820-00
7/1/16,252,July,2016,8FL,FL,Astronomy Building,Astronomy Building,UVA ASTRONOMY BUILDING        ,Astronomy Building,1,8,1,8,4190,On-Grounds,0.19,203.57,0.39,032820-00
7/1/16,125,July,2016,6FL,FL,Bookstore/Central Grounds,Bookstore/Central Grounds,UVA BOOKSTORE/CENTRAL GROUNDS ,Bookstore/Central Grounds,1,6,6,36,4190,On-Grounds,0.86,203.57,1.75,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,4.79,4.79,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.15,5.15,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.43,6.43,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,5.37,5.37,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,4.8,4.8,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,5.78,5.78,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,6.08,6.08,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,University Hospital (Roll Off) Compacted - Dock 6,Main Hospital Dock 6,1,34,1,34,,RMW,100,4.38,4.38,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,8.07,8.07,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.81,6.81,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,7,7,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.01,6.01,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.96,6.96,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,1.76,1.76,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,4.1,4.1,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.03,5.03,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,7.47,7.47,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,1.27,1.27,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.44,6.44,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.86,6.86,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.44,6.44,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,3.87,3.87,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.34,6.34,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.26,6.26,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,4.96,4.96,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,6.62,6.62,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.85,5.85,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,5.99,5.99,032820-00
7/1/16,,July,2016,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,34,1,34,,Clinical MSW,100,8,8,032820-00
7/1/16,,July,2016,T96,FL,Brooks Hall,Brooks Hall,UVA BROOKS HALL               ,Brooks Hall,2,0.5,3,3,4190,On-Grounds,0.07,203.57,0.15,032820-00
7/1/16,5617,July,2016,8FL,FL,Birdwood Maintenance,Birdwood Golf Course,UVA BIRDWOOD MAINTENANCE      ,Birdwood Golf Course,1,8,2,16,4190,Maintenance,0.38,203.57,0.78,032820-00
7/1/16,438,July,2016,8FL,FL,Campbell Hall,Campbell Hall,UVA CAMPBELL HALL             ,Campbell Hall,1,8,3,24,4190,On-Grounds,0.57,203.57,1.17,032820-00
7/1/16,,July,2016,RO,RO,Drama,Drama,UVA DRAMA                     ,Drama,1,30,1,30,,On-Grounds,100,1.29,1.29,032820-00
7/1/16,,July,2016,RO,RO,Drama,Drama,UVA DRAMA                     ,Drama,1,30,1,30,,On-Grounds,100,1.59,1.59,032820-00
7/1/16,,July,2016,T96,FL,Duke House/Sunnyside,Duke House,UVA DUKE HOUSE/SUNNYSIDE      ,Duke House,1,0.5,1,0.5,4190,Housing,0.01,203.57,0.02,032820-00
7/1/16,531,July,2016,8FL,FL,Cafe N @ Law School,CafÃÂÃÂ© N. @ Law School,UVA CAFE N @ LAW SCHOOL       ,CafÃÂÃÂ© N. @ Law School,1,8,6,48,4190,Aramark,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,T96,FL,East Lawn Green Alley Pav,East Lawn,UVA EAST LAWN GREEN ALLEY PAV ,East Lawn,1,0.5,16,8,4190,Housing,0.19,203.57,0.39,032820-00
7/1/16,,July,2016,T96,FL,East Lawn Key Alley Pav V,East Lawn,UVA EAST LAWN KEY ALLEY PAV V ,East Lawn,1,0.5,16,8,4190,Housing,0.19,203.57,0.39,032820-00
7/1/16,,July,2016,T96,FL,East Lawn Lile Alley Pay V,East Lawn,UVA EAST LAWN LILE ALLEY PAY V,East Lawn,2,0.5,4,4,4190,Housing,0.1,203.57,0.19,032820-00
7/1/16,,July,2016,T96,FL,East Lawn Rotunda Alley Pa,East Lawn Rotunda,UVA EAST LAWN ROTUNDA ALLEY PA,East Lawn Rotunda,5,0.5,4,10,4190,On-Grounds,0.24,203.57,0.49,032820-00
7/1/16,,July,2016,T96,FL,East Range Green & Key,East Lawn,UVA EAST RANGE GREEN & KEY    ,East Lawn,1,0.5,16,8,4190,Housing,0.19,203.57,0.39,032820-00
7/1/16,,July,2016,T96,FL,East Range Key & Lile,East Lawn,UVA EAST RANGE KEY & LILE     ,East Lawn,1,0.5,16,8,4190,Housing,0.19,203.57,0.39,032820-00
7/1/16,131,July,2016,6FL,FL,Elson Student Health,Elson Student Health,UVA ELSON STUDENT HEALTH      ,Elson Student Health,1,6,3,18,4190,Clinical MSW,0.43,203.57,0.87,032820-00
7/1/16,,July,2016,8FL,FL,Emily Couric Clinical Canc,Emily Couric Cancer Center,UVA EMILY COURIC CLINICAL CANC,Emily Couric Cancer Center,1,8,6,48,4190,Clinical MSW,1.15,203.57,2.33,032820-00
7/1/16,553,July,2016,8FC,FL,Darden School,Darden School,UVA DARDEN SCHOOL             ,Darden School,1,24,5,120,4190,Darden,2.86,203.57,5.83,032820-00
7/1/16,263,July,2016,4FL,FL,Env Health & Safety,Environmental Health & Safety,UVA ENV HEALTH & SAFETY       ,Environmental Health & Safety,1,4,2,8,4190,On-Grounds,0.19,203.57,0.39,032820-00
7/1/16,228,July,2016,8FL,FL,Fac Mgt 8 Yd,Facilities Mgt 8 Yd,UVA FAC MGT 8 YD              ,Facilities Mgt 8 Yd,1,8,3,24,4190,Maintenance,0.57,203.57,1.17,032820-00
7/1/16,228,July,2016,4FL,FL,Fac Mgt Leake Building,Leake Building,UVA FAC MGT LEAKE BUILDING    ,Leake Building,1,4,2,8,4190,On-Grounds,0.19,203.57,0.39,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,4.08,4.08,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,2.82,2.82,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,3.49,3.49,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,1.88,1.88,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,4.45,4.45,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,2.74,2.74,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,1.67,1.67,032820-00
7/1/16,,July,2016,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,30,1,30,,CDD,100,1.85,1.85,032820-00
7/1/16,2566,July,2016,8FL,FL,Faulkner Dorms,Faulkner Dorms,UVA FAULKNER DORMS            ,Faulkner Dorms,1,8,6,48,4190,Housing,1.15,203.57,2.33,032820-00
7/1/16,,July,2016,T96,FL,Faulkner Gravel Lot,Faulkner Grave Lot,UVA FAULKNER GRAVEL LOT       ,Faulkner Grave Lot,2,0.5,2,2,4190,Housing,0.05,203.57,0.1,032820-00
7/1/16,255,July,2016,6FL,FL,Fac Mgmt Cabinet Shop,Facilities Mgmt Cabinet Shop,UVA FAC MGMT CABINET SHOP     ,Facilities Mgmt Cabinet Shop,1,6,1,6,4190,Maintenance,0.14,203.57,0.29,032820-00
7/1/16,1998,July,2016,8FL,FL,Core Lab,Core Lab,UVA CORE LAB                  ,Core Lab,1,8,6,48,4190,Clinical MSW,1.15,203.57,2.33,032820-00
7/1/16,2305,July,2016,8FL,FL,Dunglison House,Dunglison House,UVA DUNGLISON HOUSE           ,Dunglison House,1,8,6,48,4190,Housing,1.15,203.57,2.33,032820-00
